Outlet_Identifier,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Type
OUT049,1999,Tier 1,Supermarket Type1
OUT018,2009,Tier 3,Supermarket Type2
OUT049,1999,Tier 1,Supermarket Type1
OUT010,1998,Tier 3,Grocery Store
OUT013,1987,Tier 3,Supermarket Type1
OUT018,2009,Tier 3,Supermarket Type2
OUT013,1987,Tier 3,Supermarket Type1
OUT027,1985,Tier 3,Supermarket Type3
OUT045,2002,Tier 2,Supermarket Type1
OUT017,2007,Tier 2,Supermarket Type1
OUT049,1999,Tier 1,Supermarket Type1
OUT046,1997,Tier 1,Supermarket Type1
OUT049,1999,Tier 1,Supermarket Type1
OUT046,1997,Tier 1,Supermarket Type1
OUT013,1987,Tier 3,Supermarket Type1
OUT046,1997,Tier 1,Supermarket Type1
OUT018,2009,Tier 3,Supermarket Type2
OUT049,1999,Tier 1,Supermarket Type1
OUT027,1985,Tier 3,Supermarket Type3
OUT035,2004,Tier 2,Supermarket Type1
OUT013,1987,Tier 3,Supermarket Type1
OUT027,1985,Tier 3,Supermarket Type3
OUT035,2004,Tier 2,Supermarket Type1
OUT019,1985,Tier 1,Grocery Store
OUT046,1997,Tier 1,Supermarket Type1
OUT017,2007,Tier 2,Supermarket Type1
OUT035,2004,Tier 2,Supermarket Type1
OUT013,1987,Tier 3,Supermarket Type1
OUT010,1998,Tier 3,Grocery Store
OUT019,1985,Tier 1,Grocery Store
OUT010,1998,Tier 3,Grocery Store
OUT018,2009,Tier 3,Supermarket Type2
OUT018,2009,Tier 3,Supermarket Type2
OUT045,2002,Tier 2,Supermarket Type1
OUT046,1997,Tier 1,Supermarket Type1
OUT049,1999,Tier 1,Supermarket Type1
OUT027,1985,Tier 3,Supermarket Type3
OUT018,2009,Tier 3,Supermarket Type2
OUT027,1985,Tier 3,Supermarket Type3
OUT027,1985,Tier 3,Supermarket Type3
OUT046,1997,Tier 1,Supermarket Type1
OUT013,1987,Tier 3,Supermarket Type1
OUT049,1999,Tier 1,Supermarket Type1
OUT018,2009,Tier 3,Supermarket Type2
OUT013,1987,Tier 3,Supermarket Type1
OUT010,1998,Tier 3,Grocery Store
OUT045,2002,Tier 2,Supermarket Type1
OUT045,2002,Tier 2,Supermarket Type1
OUT046,1997,Tier 1,Supermarket Type1
OUT019,1985,Tier 1,Grocery Store
OUT046,1997,Tier 1,Supermarket Type1
OUT013,1987,Tier 3,Supermarket Type1
OUT013,1987,Tier 3,Supermarket Type1
OUT017,2007,Tier 2,Supermarket Type1
OUT017,2007,Tier 2,Supermarket Type1
OUT018,2009,Tier 3,Supermarket Type2
OUT045,2002,Tier 2,Supermarket Type1
OUT049,1999,Tier 1,Supermarket Type1
OUT046,1997,Tier 1,Supermarket Type1
OUT019,1985,Tier 1,Grocery Store
OUT018,2009,Tier 3,Supermarket Type2
OUT045,2002,Tier 2,Supermarket Type1
OUT027,1985,Tier 3,Supermarket Type3
OUT019,1985,Tier 1,Grocery Store
OUT027,1985,Tier 3,Supermarket Type3
OUT010,1998,Tier 3,Grocery Store
OUT035,2004,Tier 2,Supermarket Type1
OUT045,2002,Tier 2,Supermarket Type1
OUT045,2002,Tier 2,Supermarket Type1
OUT046,1997,Tier 1,Supermarket Type1
OUT046,1997,Tier 1,Supermarket Type1
OUT013,1987,Tier 3,Supermarket Type1
OUT045,2002,Tier 2,Supermarket Type1
OUT017,2007,Tier 2,Supermarket Type1
OUT049,1999,Tier 1,Supermarket Type1
OUT046,1997,Tier 1,Supermarket Type1
OUT049,1999,Tier 1,Supermarket Type1
OUT019,1985,Tier 1,Grocery Store
OUT017,2007,Tier 2,Supermarket Type1
OUT045,2002,Tier 2,Supermarket Type1
OUT046,1997,Tier 1,Supermarket Type1
OUT046,1997,Tier 1,Supermarket Type1
OUT018,2009,Tier 3,Supermarket Type2
OUT019,1985,Tier 1,Grocery Store
OUT027,1985,Tier 3,Supermarket Type3
OUT017,2007,Tier 2,Supermarket Type1
OUT035,2004,Tier 2,Supermarket Type1
OUT027,1985,Tier 3,Supermarket Type3
OUT046,1997,Tier 1,Supermarket Type1
OUT049,1999,Tier 1,Supermarket Type1
OUT010,1998,Tier 3,Grocery Store
OUT049,1999,Tier 1,Supermarket Type1
OUT045,2002,Tier 2,Supermarket Type1
OUT035,2004,Tier 2,Supermarket Type1
OUT035,2004,Tier 2,Supermarket Type1
OUT019,1985,Tier 1,Grocery Store
OUT049,1999,Tier 1,Supermarket Type1
OUT035,2004,Tier 2,Supermarket Type1
OUT027,1985,Tier 3,Supermarket Type3
OUT046,1997,Tier 1,Supermarket Type1
OUT045,2002,Tier 2,Supermarket Type1
OUT027,1985,Tier 3,Supermarket Type3
OUT049,1999,Tier 1,Supermarket Type1
OUT013,1987,Tier 3,Supermarket Type1
OUT018,2009,Tier 3,Supermarket Type2
OUT013,1987,Tier 3,Supermarket Type1
OUT013,1987,Tier 3,Supermarket Type1
OUT045,2002,Tier 2,Supermarket Type1
OUT019,1985,Tier 1,Grocery Store
OUT013,1987,Tier 3,Supermarket Type1
OUT046,1997,Tier 1,Supermarket Type1
OUT017,2007,Tier 2,Supermarket Type1
OUT019,1985,Tier 1,Grocery Store
OUT027,1985,Tier 3,Supermarket Type3
OUT045,2002,Tier 2,Supermarket Type1
OUT049,1999,Tier 1,Supermarket Type1
OUT017,2007,Tier 2,Supermarket Type1
OUT035,2004,Tier 2,Supermarket Type1
OUT017,2007,Tier 2,Supermarket Type1
OUT018,2009,Tier 3,Supermarket Type2
OUT017,2007,Tier 2,Supermarket Type1
OUT045,2002,Tier 2,Supermarket Type1
OUT010,1998,Tier 3,Grocery Store
OUT035,2004,Tier 2,Supermarket Type1
OUT017,2007,Tier 2,Supermarket Type1
OUT035,2004,Tier 2,Supermarket Type1
OUT046,1997,Tier 1,Supermarket Type1
OUT017,2007,Tier 2,Supermarket Type1
OUT013,1987,Tier 3,Supermarket Type1
OUT045,2002,Tier 2,Supermarket Type1
OUT027,1985,Tier 3,Supermarket Type3
OUT046,1997,Tier 1,Supermarket Type1
OUT027,1985,Tier 3,Supermarket Type3
OUT010,1998,Tier 3,Grocery Store
OUT018,2009,Tier 3,Supermarket Type2
OUT046,1997,Tier 1,Supermarket Type1
OUT027,1985,Tier 3,Supermarket Type3
OUT045,2002,Tier 2,Supermarket Type1
OUT017,2007,Tier 2,Supermarket Type1
OUT010,1998,Tier 3,Grocery Store
OUT035,2004,Tier 2,Supermarket Type1
OUT017,2007,Tier 2,Supermarket Type1
OUT045,2002,Tier 2,Supermarket Type1
OUT049,1999,Tier 1,Supermarket Type1
OUT035,2004,Tier 2,Supermarket Type1
OUT049,1999,Tier 1,Supermarket Type1
OUT035,2004,Tier 2,Supermarket Type1
OUT035,2004,Tier 2,Supermarket Type1
OUT035,2004,Tier 2,Supermarket Type1
OUT035,2004,Tier 2,Supermarket Type1
OUT017,2007,Tier 2,Supermarket Type1
OUT018,2009,Tier 3,Supermarket Type2
OUT018,2009,Tier 3,Supermarket Type2
OUT027,1985,Tier 3,Supermarket Type3
OUT046,1997,Tier 1,Supermarket Type1
